,INSTNM,INSTURL,instabbr,subr_from_name,subr_from_abbr,compd,match_only,subr_match
1207,Berea College,https://www.berea.edu/,  berea  ,r/berea,r/berea,r/berea,True,True
1213,Centre College,https://www.centre.edu/,  centre  ,r/Centre,r/Centre,r/Centre,True,True
1255,The Southern Baptist Theological Seminary,www.sbts.edu/, sbts  ,r/sbts,r/sbts,r/sbts,True,True
1291,McNeese State University,www.mcneese.edu/, mcneese  ,r/mcneese,r/mcneese,r/mcneese,True,True
1297,Northwestern State University of Louisiana,www.nsula.edu/, nsula  ,r/nsula,r/nsula,r/nsula,True,True
1310,Southeastern Louisiana University,www.southeastern.edu/, southeastern  ,r/Southeastern,r/Southeastern,r/Southeastern,True,True
1321,Bowdoin College,https://www.bowdoin.edu/,  bowdoin  ,r/Bowdoin,r/Bowdoin,r/Bowdoin,True,True
1324,Colby College,www.colby.edu/, colby  ,r/Colby,r/Colby,r/Colby,True,True
1334,University of Maine at Presque Isle,www.umpi.edu/, umpi  ,r/UMPI,r/UMPI,r/UMPI,True,True
1355,College of Southern Maryland,www.csmd.edu/, csmd  ,r/SOMD,r/SOMD,r/SOMD,True,True
1364,Goucher College,www.goucher.edu/, goucher  ,r/Goucher,r/Goucher,r/Goucher,True,True
1370,Johns Hopkins University,www.jhu.edu/, jhu  ,r/jhu,r/jhu,r/jhu,True,True
1376,University of Maryland-College Park,www.umd.edu/, umd  ,r/UMD,r/UMD,r/UMD,True,True
1387,Prince George's Community College,www.pgcc.edu/, pgcc  ,r/PGCC,r/PGCC,r/PGCC,True,True
1390,Salisbury University,https://www.salisbury.edu/,  salisbury  ,r/Salisbury,r/Salisbury,r/Salisbury,True,True
1391,St. Mary's College of Maryland,www.smcm.edu/, smcm  ,r/smcm,r/smcm,r/smcm,True,True
1395,United States Naval Academy,www.usna.edu/, usna  ,r/usna,r/usna,r/usna,True,True
1397,Washington College,www.washcoll.edu/, washcoll  ,r/WashingtonCollege,r/WashingtonCollege,r/WashingtonCollege,True,True
1398,McDaniel College,www.mcdaniel.edu/, mcdaniel  ,r/SarahRoseMcDaniel,r/SarahRoseMcDaniel,r/SarahRoseMcDaniel,True,True
1406,Babson College,www.babson.edu/, babson  ,r/Babson,r/Babson,r/Babson,True,True
1420,Brandeis University,https://www.brandeis.edu/,  brandeis  ,r/brandeis,r/brandeis,r/brandeis,True,True
1429,Clark University,www.clarku.edu/, clarku  ,r/ClarkU,r/ClarkU,r/ClarkU,True,True
1437,Emerson College,www.emerson.edu/, emerson  ,r/EmersonCollege,r/EmersonCollege,r/EmersonCollege,True,True
1449,Harvard University,www.harvard.edu/, harvard  ,r/Harvard,r/Harvard,r/Harvard,True,True
1459,University of Massachusetts-Lowell,www.uml.edu/, uml  ,r/uml,r/uml,r/uml,True,True
1460,University of Massachusetts-Amherst,www.umass.edu/, umass  ,r/umass,r/umass,r/umass,True,True
1484,North Shore Community College,www.northshore.edu/, northshore  ,r/northshore,r/northshore,r/northshore,True,True
1497,Bard College at Simon's Rock,www.simons-rock.edu/, simons-rock  ,r/simonsrock,r/simonsrock,r/simonsrock,True,True
1500,Springfield College,www.springfield.edu/, springfield  ,r/Springfield,r/Springfield,r/Springfield,True,True
1503,Stonehill College,https://www.stonehill.edu/,  stonehill  ,r/StonehillCollege,r/StonehillCollege,r/StonehillCollege,True,True
1506,Tufts University,https://www.tufts.edu/,  tufts  ,r/Tufts,r/Tufts,r/Tufts,True,True
1513,Worcester Polytechnic Institute,https://www.wpi.edu/,  wpi  ,r/WPI,r/WPI,r/WPI,True,True
1516,Albion College,www.albion.edu/, albion  ,r/Albion,r/Albion,r/Albion,True,True
1522,Aquinas College,www.aquinas.edu/, aquinas  ,r/aquinas,r/aquinas,r/aquinas,True,True
1525,Bayshire Academy of Beauty Craft Inc,www.bayshirebeautyacademy.edu/, bayshirebeautyacademy  ,r/BayCityMichigan,r/BayCityMichigan,r/BayCityMichigan,True,True
1528,Carnegie Institute,https://www.carnegie-institute.edu/,  carnegie-institute  ,r/code,r/code,r/code,True,True
1550,Kettering University,https://www.kettering.edu/,  kettering  ,r/Kettering,r/Kettering,r/Kettering,True,True
1558,Hillsdale College,https://www.hillsdale.edu/,  hillsdale  ,r/hillsdale,r/hillsdale,r/hillsdale,True,True
1561,Kalamazoo College,https://www.kzoo.edu/,  kzoo  ,r/kzoo,r/kzoo,r/kzoo,True,True
1576,Michigan State University,https://www.msu.edu/,  msu  ,r/msu,r/msu,r/msu,True,True
